Wort;Anzahl;bekannt 
the;3525;1
and;2738;1
to;2694;1
of;2617;1
a;1949;1
is;1704;1
in;1628;1
her;1000;1
you;949;1
masculine;866;1
feminine;853;1
love;835;1
or;812;1
that;793;1
with;766;1
we;762;1
are;671;1
our;659;1
his;651;1
sexual;646;1
he;628;1
for;625;1
your;603;1
she;587;1
it;570;1
be;542;1
as;524;1
by;467;1
i;464;1
this;411;1
man;403;1
relationship;396;1
not;393;1
more;392;1
intimate;384;1
have;358;1
energy;351;1
but;347;1
partner;346;1
life;339;1
their;330;1
if;318;1
woman;315;1
can;314;1
when;311;1
s;310;1
essence;309;1
on;307;1
from;292;1
men;283;1
they;277;1
into;275;1
who;270;1
stage;257;1
t;252;1
an;248;1
will;244;1
so;243;1
women;239;1
than;237;1
my;232;1
at;223;1
like;210;1
force;209;1
heart;207;1
feel;205;1
may;204;1
was;199;1
what;196;1
has;190;1
want;190;1
all;189;1
communion;188;1
moment;183;1
polarity;179;1
practice;173;1
through;172;1
true;169;1
would;167;1
then;166;1
do;164;1
even;164;1
one;161;1
us;158;1
own;156;1
loving;154;1
other;154;1
often;153;1
him;144;1
rather;138;1
always;137;1
each;134;1
no;133;1
being;132;1
which;129;1
most;128;1
about;127;1
body;125;1
out;125;1
way;125;1
just;123;1
time;118;1
me;116;1
also;115;1
how;113;1
ophelia;113;0
because;112;1
free;109;1
freedom;109;1
give;108;1
intimacy;106;1
desire;105;1
up;105;1
wants;105;1
self;104;1
partners;103;1
flow;101;1
there;101;1
must;100;1
second;100;1
very;98;1
go;97;1
many;97;1
relationships;94;1
only;93;1
people;93;1
feeling;92;1
gift;89;1
first;87;1
herself;87;1
sex;87;1
between;86;1
both;86;1
such;86;1
were;85;1
don;84;1
emotional;84;1
open;83;1
really;83;1
new;82;1
become;80;1
learn;80;1
some;80;1
surrender;80;1
get;77;1
however;77;1
person;77;1
feels;76;1
same;76;1
core;75;1
over;75;1
need;74;1
something;74;1
them;74;1
dependence;73;1
another;72;1
less;72;1
without;72;1
beyond;71;1
deep;71;1
does;71;1
down;71;1
gifts;71;1
leah;71;1
paul;71;1
relax;71;1
after;70;1
these;69;1
third;69;1
direction;68;1
good;68;1
world;67;1
any;66;1
full;66;1
strong;66;1
nature;65;1
trust;65;1
doesn;64;1
whether;64;1
release;62;1
sense;62;1
been;61;1
death;61;1
form;61;1
well;61;1
work;61;1
day;60;1
let;60;1
willing;60;1
could;59;1
himself;59;1
much;59;1
natural;59;1
every;58;1
longer;58;1
needs;58;1
now;58;1
present;58;1
make;57;1
